line_id,timestamp,host,source,message
1,2026-03-09 00:14:39,db01,systemd,logrotate.service: Succeeded.
2,2026-03-09 01:08:43,fw01,firewall,ALLOW tcp 10.20.1.12:40325 -> 10.20.2.40:445 bytes=19686538
3,2026-03-09 01:13:35,fw01,firewall,ALLOW tcp 10.20.1.11:44889 -> 10.20.2.40:445 bytes=11620619
4,2026-03-09 03:11:09,app02,cron,(backup) CMD (/usr/local/bin/nightly-backup.sh --target /srv)
5,2026-03-09 03:46:16,web02,cron,(backup) CMD (/usr/local/bin/nightly-backup.sh --target /srv)
6,2026-03-09 04:32:18,app01,cron,(backup) CMD (/usr/local/bin/nightly-backup.sh --target /srv)
7,2026-03-09 05:00:54,fw01,firewall,ALLOW tcp 10.20.1.11:52219 -> 10.20.2.40:445 bytes=9923565
8,2026-03-09 05:04:48,web01,systemd,logrotate.service: Succeeded.
9,2026-03-09 05:19:22,fw01,firewall,ALLOW tcp 10.20.3.55:48194 -> 10.20.2.40:445 bytes=22327358
10,2026-03-09 06:05:31,db01,sshd,Accepted publickey for achen from 10.20.9.61 port 40157 ssh2
11,2026-03-09 06:09:03,web01,nginx,"203.0.113.7 - - ""GET /api/v2/orders?page=12 HTTP/1.1"" 200 7765"
12,2026-03-09 06:09:57,app02,cron,(deploy) CMD (/usr/local/bin/report.sh --daily)
13,2026-03-09 06:14:49,web01,sshd,pam_unix(sshd:session): session opened for user monitor by (uid=0)
14,2026-03-09 07:01:40,app01,sshd,Accepted publickey for tokafor from 10.20.9.96 port 53885 ssh2
15,2026-03-09 07:16:29,app02,cron,(monitor) CMD (/usr/local/bin/report.sh --daily)
16,2026-03-09 07:26:54,db01,cron,(achen) CMD (/usr/local/bin/report.sh --daily)
17,2026-03-09 07:29:30,db01,systemd,Started Session 9641 of user tokafor.
18,2026-03-09 07:29:39,fs01,sudo,deploy : TTY=pts/0 ; PWD=/home/deploy ; USER=root ; COMMAND=/usr/bin/systemctl status nginx
19,2026-03-09 07:32:01,web02,sshd,Accepted publickey for achen from 10.20.9.88 port 41067 ssh2
20,2026-03-09 07:39:59,web02,nginx,"203.0.113.7 - - ""POST /api/v2/session HTTP/1.1"" 201 676"
21,2026-03-09 07:41:28,app02,sshd,pam_unix(sshd:session): session opened for user backup by (uid=0)
22,2026-03-09 07:46:39,fw01,firewall,ALLOW tcp 10.20.9.72:44029 -> 10.20.2.22:443 bytes=6520
23,2026-03-09 07:49:53,web02,sshd,Accepted publickey for rpatel from 10.20.9.61 port 54398 ssh2
24,2026-03-09 08:14:06,web02,nginx,"203.0.113.19 - - ""POST /api/v2/session HTTP/1.1"" 201 255"
25,2026-03-09 08:31:02,fs01,cron,(monitor) CMD (/usr/local/bin/report.sh --daily)
26,2026-03-09 09:03:40,fw01,firewall,DENY tcp 198.51.100.42:53962 -> 10.20.1.11:23 bytes=0
27,2026-03-09 09:35:08,fs01,sshd,Accepted publickey for deploy from 10.20.9.14 port 54424 ssh2
28,2026-03-09 09:47:27,web01,nginx,"198.51.100.42 - - ""GET /api/v2/orders?page=34 HTTP/1.1"" 200 6977"
29,2026-03-09 09:59:44,fw01,firewall,ALLOW tcp 10.20.9.96:41331 -> 10.20.2.40:443 bytes=24820
30,2026-03-09 10:01:46,web02,nginx,"203.0.113.7 - - ""POST /api/v2/session HTTP/1.1"" 201 715"
31,2026-03-09 10:14:39,web01,nginx,"203.0.113.7 - - ""GET /favicon.ico HTTP/1.1"" 404 153"
32,2026-03-09 10:26:22,web02,nginx,"198.51.100.42 - - ""POST /api/v2/session HTTP/1.1"" 201 669"
33,2026-03-09 10:37:30,fs01,sshd,pam_unix(sshd:session): session opened for user monitor by (uid=0)
34,2026-03-09 10:39:08,web02,sshd,Accepted publickey for tokafor from 10.20.9.88 port 43411 ssh2
35,2026-03-09 10:48:34,app02,sshd,Accepted publickey for deploy from 10.20.9.14 port 55170 ssh2
36,2026-03-09 10:48:34,web02,nginx,"198.51.100.42 - - ""POST /api/v2/session HTTP/1.1"" 201 294"
37,2026-03-09 10:54:22,vpn01,cron,(achen) CMD (/usr/local/bin/report.sh --daily)
38,2026-03-09 10:55:59,db01,sshd,Failed password for tokafor from 10.20.9.61 port 45895 ssh2
39,2026-03-09 11:18:49,fw01,firewall,ALLOW tcp 10.20.9.27:59057 -> 10.20.2.40:443 bytes=32471
40,2026-03-09 11:26:58,web02,sudo,monitor : TTY=pts/0 ; PWD=/home/monitor ; USER=root ; COMMAND=/usr/bin/systemctl status nginx
41,2026-03-09 11:31:18,fs01,sshd,Accepted publickey for achen from 10.20.9.14 port 58722 ssh2
42,2026-03-09 11:55:31,web01,sshd,Accepted publickey for deploy from 10.20.9.14 port 41039 ssh2
43,2026-03-09 12:00:18,fw01,firewall,DENY tcp 203.0.113.7:47818 -> 10.20.1.11:23 bytes=0
44,2026-03-09 12:09:49,web01,nginx,"198.51.100.42 - - ""GET /favicon.ico HTTP/1.1"" 404 153"
45,2026-03-09 12:13:05,app02,sshd,Accepted publickey for deploy from 10.20.9.88 port 45535 ssh2
46,2026-03-09 12:35:30,db01,sudo,deploy : TTY=pts/0 ; PWD=/home/deploy ; USER=root ; COMMAND=/usr/bin/systemctl status nginx
47,2026-03-09 12:36:13,app02,sudo,rpatel : TTY=pts/0 ; PWD=/home/rpatel ; USER=root ; COMMAND=/usr/bin/systemctl status nginx
48,2026-03-09 12:39:07,fw01,firewall,ALLOW tcp 10.20.9.72:48183 -> 10.20.2.22:443 bytes=21506
49,2026-03-09 12:43:49,fs01,sshd,pam_unix(sshd:session): session opened for user swilliams by (uid=0)
50,2026-03-09 12:48:19,web02,sshd,Accepted publickey for jmorales from 10.20.9.14 port 55431 ssh2
51,2026-03-09 12:48:50,app01,sshd,pam_unix(sshd:session): session opened for user achen by (uid=0)
52,2026-03-09 12:55:41,fw01,firewall,ALLOW tcp 10.20.9.96:44797 -> 10.20.1.11:443 bytes=49019
53,2026-03-09 13:22:10,web02,nginx,"203.0.113.19 - - ""POST /api/v2/session HTTP/1.1"" 201 510"
54,2026-03-09 13:30:26,web02,sshd,Accepted publickey for achen from 10.20.9.27 port 45585 ssh2
55,2026-03-09 13:38:47,db01,sshd,Accepted publickey for jmorales from 10.20.9.33 port 56588 ssh2
56,2026-03-09 13:39:12,web01,nginx,"203.0.113.7 - - ""GET /api/v2/orders?page=12 HTTP/1.1"" 200 2249"
57,2026-03-09 13:41:29,app02,sudo,achen : TTY=pts/0 ; PWD=/home/achen ; USER=root ; COMMAND=/usr/bin/systemctl status nginx
58,2026-03-09 13:43:39,web02,nginx,"203.0.113.7 - - ""POST /api/v2/session HTTP/1.1"" 201 654"
59,2026-03-09 13:50:26,app01,sshd,Accepted publickey for deploy from 10.20.9.14 port 57923 ssh2
60,2026-03-09 13:58:44,fw01,firewall,ALLOW tcp 10.20.9.27:56794 -> 10.20.3.55:443 bytes=23618
61,2026-03-09 14:08:18,app02,sshd,Accepted publickey for backup from 10.20.9.72 port 42377 ssh2
62,2026-03-09 14:09:44,web01,nginx,"203.0.113.19 - - ""GET /favicon.ico HTTP/1.1"" 404 153"
63,2026-03-09 14:21:08,fw01,firewall,ALLOW tcp 10.20.9.96:42877 -> 10.20.2.21:443 bytes=45932
64,2026-03-09 14:26:44,web01,nginx,"198.51.100.42 - - ""GET /favicon.ico HTTP/1.1"" 404 153"
65,2026-03-09 14:28:27,web01,nginx,"198.51.100.42 - - ""GET /api/v2/orders?page=21 HTTP/1.1"" 200 4835"
66,2026-03-09 14:32:28,fs01,sshd,pam_unix(sshd:session): session opened for user rpatel by (uid=0)
67,2026-03-09 15:05:45,app01,sshd,Accepted publickey for achen from 10.20.9.48 port 43764 ssh2
68,2026-03-09 15:08:49,web02,sshd,Accepted publickey for deploy from 10.20.9.88 port 55607 ssh2
69,2026-03-09 15:09:45,web01,sshd,Failed password for monitor from 10.20.9.48 port 57862 ssh2
70,2026-03-09 15:17:24,fs01,sudo,swilliams : TTY=pts/0 ; PWD=/home/swilliams ; USER=root ; COMMAND=/usr/bin/systemctl status nginx
71,2026-03-09 15:28:42,fw01,firewall,ALLOW tcp 10.20.9.61:51374 -> 10.20.2.22:443 bytes=3788
72,2026-03-09 15:38:05,web01,nginx,"198.51.100.42 - - ""GET /favicon.ico HTTP/1.1"" 404 153"
73,2026-03-09 15:54:58,web02,sshd,Accepted publickey for achen from 10.20.9.61 port 50936 ssh2
74,2026-03-09 15:57:52,app02,cron,(achen) CMD (/usr/local/bin/report.sh --daily)
75,2026-03-09 16:08:57,fw01,firewall,ALLOW tcp 10.20.9.61:48903 -> 10.20.2.40:443 bytes=39565
76,2026-03-09 16:37:36,app01,sshd,Accepted publickey for rpatel from 10.20.9.14 port 46778 ssh2
77,2026-03-09 16:38:14,web02,sshd,Accepted publickey for swilliams from 10.20.9.48 port 43302 ssh2
78,2026-03-09 16:41:27,fs01,sshd,Accepted publickey for tokafor from 10.20.9.96 port 43046 ssh2
79,2026-03-09 16:43:20,fw01,firewall,DENY tcp 203.0.113.7:55904 -> 10.20.1.11:23 bytes=0
80,2026-03-09 16:46:45,web02,cron,(swilliams) CMD (/usr/local/bin/report.sh --daily)
81,2026-03-09 17:02:12,web02,nginx,"203.0.113.7 - - ""POST /api/v2/session HTTP/1.1"" 201 866"
82,2026-03-09 17:15:43,vpn01,cron,(rpatel) CMD (/usr/local/bin/report.sh --daily)
83,2026-03-09 17:22:15,fs01,systemd,Started Session 2104 of user achen.
84,2026-03-09 17:25:00,web01,nginx,"198.51.100.42 - - ""GET /api/v2/orders?page=32 HTTP/1.1"" 200 4343"
85,2026-03-09 17:34:25,fw01,firewall,ALLOW tcp 10.20.9.72:41687 -> 10.20.1.12:443 bytes=37471
86,2026-03-09 17:34:38,web01,nginx,"203.0.113.7 - - ""GET /api/v2/orders?page=24 HTTP/1.1"" 200 1052"
87,2026-03-09 17:48:11,fw01,firewall,DENY tcp 203.0.113.7:40109 -> 10.20.1.11:23 bytes=0
88,2026-03-09 18:07:26,fw01,firewall,DENY tcp 198.51.100.42:46018 -> 10.20.1.11:23 bytes=0
89,2026-03-09 18:32:19,fw01,firewall,ALLOW tcp 10.20.9.48:55682 -> 10.20.2.22:443 bytes=20484
90,2026-03-09 18:50:26,web01,sshd,pam_unix(sshd:session): session opened for user jmorales by (uid=0)
91,2026-03-09 19:02:11,fs01,sshd,Failed password for deploy from 10.20.9.33 port 59436 ssh2
92,2026-03-09 19:05:44,fw01,firewall,DENY tcp 203.0.113.19:49390 -> 10.20.1.11:23 bytes=0
93,2026-03-09 19:14:13,web01,nginx,"203.0.113.7 - - ""GET /api/v2/orders?page=2 HTTP/1.1"" 200 858"
94,2026-03-09 19:29:01,web01,nginx,"203.0.113.7 - - ""GET /api/v2/orders?page=29 HTTP/1.1"" 200 1950"
95,2026-03-09 19:35:09,db01,sshd,pam_unix(sshd:session): session opened for user achen by (uid=0)
96,2026-03-09 19:38:07,web01,nginx,"203.0.113.19 - - ""GET /api/v2/orders?page=1 HTTP/1.1"" 200 1584"
97,2026-03-09 19:51:01,app02,sshd,pam_unix(sshd:session): session opened for user achen by (uid=0)
98,2026-03-09 19:51:28,app02,sshd,Failed password for tokafor from 10.20.9.96 port 56971 ssh2
99,2026-03-09 20:00:43,app01,systemd,Started Session 8653 of user jmorales.
100,2026-03-09 20:02:52,vpn01,sshd,pam_unix(sshd:session): session opened for user deploy by (uid=0)
101,2026-03-09 20:21:46,web01,cron,(swilliams) CMD (/usr/local/bin/report.sh --daily)
102,2026-03-09 20:21:54,web02,nginx,"198.51.100.42 - - ""POST /api/v2/session HTTP/1.1"" 201 384"
103,2026-03-09 20:30:44,fw01,firewall,ALLOW tcp 10.20.9.14:49861 -> 10.20.2.40:443 bytes=10711
104,2026-03-09 20:47:55,fs01,sshd,pam_unix(sshd:session): session opened for user backup by (uid=0)
105,2026-03-10 00:27:54,web01,cron,(backup) CMD (/usr/local/bin/nightly-backup.sh --target /srv)
106,2026-03-10 00:56:16,web02,cron,(backup) CMD (/usr/local/bin/nightly-backup.sh --target /srv)
107,2026-03-10 01:23:37,web02,cron,(backup) CMD (/usr/local/bin/nightly-backup.sh --target /srv)
108,2026-03-10 01:54:10,vpn01,sudo,deploy : TTY=pts/3 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/systemctl restart app.service
109,2026-03-10 02:42:35,app02,sshd,Accepted publickey for backup from 10.20.2.40 port 49505 ssh2
110,2026-03-10 02:44:32,app01,sshd,Accepted publickey for deploy from 10.20.2.21 port 57496 ssh2
111,2026-03-10 03:19:42,app02,cron,(backup) CMD (/usr/local/bin/nightly-backup.sh --target /srv)
112,2026-03-10 04:45:17,app02,cron,(monitor) CMD (/usr/local/bin/healthcheck --quiet)
113,2026-03-10 05:57:13,web02,sudo,deploy : TTY=pts/3 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/systemctl restart app.service
114,2026-03-10 06:04:52,vpn01,sshd,Accepted publickey for jmorales from 10.20.9.33 port 51305 ssh2
115,2026-03-10 06:09:06,web02,nginx,"203.0.113.19 - - ""POST /api/v2/session HTTP/1.1"" 201 361"
116,2026-03-10 06:13:53,web01,nginx,"203.0.113.7 - - ""GET /favicon.ico HTTP/1.1"" 404 153"
117,2026-03-10 06:20:18,web02,sshd,Accepted publickey for tokafor from 10.20.9.96 port 53815 ssh2
118,2026-03-10 06:22:06,web02,nginx,"198.51.100.42 - - ""POST /api/v2/session HTTP/1.1"" 201 205"
119,2026-03-10 06:29:27,web01,nginx,"203.0.113.7 - - ""GET /favicon.ico HTTP/1.1"" 404 153"
120,2026-03-10 06:37:13,web02,sshd,pam_unix(sshd:session): session opened for user swilliams by (uid=0)
121,2026-03-10 07:34:53,fw01,firewall,DENY tcp 203.0.113.19:43647 -> 10.20.1.11:23 bytes=0
122,2026-03-10 07:38:23,fs01,sshd,Accepted publickey for backup from 10.20.9.48 port 44140 ssh2
123,2026-03-10 07:58:08,web01,sshd,pam_unix(sshd:session): session opened for user rpatel by (uid=0)
124,2026-03-10 07:59:26,vpn01,sshd,Failed password for deploy from 10.20.9.72 port 42881 ssh2
125,2026-03-10 08:01:03,db01,sshd,pam_unix(sshd:session): session opened for user deploy by (uid=0)
126,2026-03-10 08:25:31,db01,sudo,monitor : TTY=pts/0 ; PWD=/home/monitor ; USER=root ; COMMAND=/usr/bin/systemctl status nginx
127,2026-03-10 08:27:30,fs01,sudo,swilliams : TTY=pts/0 ; PWD=/home/swilliams ; USER=root ; COMMAND=/usr/bin/systemctl status nginx
128,2026-03-10 08:40:41,vpn01,sshd,Accepted publickey for tokafor from 10.20.9.14 port 59835 ssh2
129,2026-03-10 09:00:55,web01,systemd,Started Session 4493 of user tokafor.
130,2026-03-10 09:35:37,db01,sshd,pam_unix(sshd:session): session opened for user deploy by (uid=0)
131,2026-03-10 09:36:40,web01,sudo,tokafor : TTY=pts/0 ; PWD=/home/tokafor ; USER=root ; COMMAND=/usr/bin/systemctl status nginx
132,2026-03-10 09:38:52,db01,sshd,Accepted publickey for achen from 10.20.9.96 port 50825 ssh2
133,2026-03-10 09:47:35,vpn01,cron,(deploy) CMD (/usr/local/bin/report.sh --daily)
134,2026-03-10 09:56:35,fs01,sshd,Failed password for jmorales from 10.20.9.33 port 48368 ssh2
135,2026-03-10 10:06:24,fs01,sshd,Accepted publickey for jmorales from 10.20.9.61 port 45496 ssh2
136,2026-03-10 10:08:01,fs01,sshd,Accepted publickey for monitor from 10.20.9.27 port 56331 ssh2
137,2026-03-10 10:19:10,fw01,firewall,DENY tcp 203.0.113.7:51229 -> 10.20.1.11:23 bytes=0
138,2026-03-10 10:25:34,web02,nginx,"198.51.100.42 - - ""POST /api/v2/session HTTP/1.1"" 201 310"
139,2026-03-10 10:43:03,web01,nginx,"203.0.113.19 - - ""GET /api/v2/orders?page=39 HTTP/1.1"" 200 7657"
140,2026-03-10 10:47:14,fw01,firewall,ALLOW tcp 10.20.9.48:40833 -> 10.20.2.21:443 bytes=7561
141,2026-03-10 11:01:42,web01,nginx,"203.0.113.7 - - ""GET /favicon.ico HTTP/1.1"" 404 153"
142,2026-03-10 11:04:04,app02,sshd,pam_unix(sshd:session): session opened for user jmorales by (uid=0)
143,2026-03-10 11:14:33,fw01,firewall,DENY tcp 198.51.100.42:54846 -> 10.20.1.11:23 bytes=0
144,2026-03-10 11:29:10,web01,sshd,Failed password for backup from 10.20.9.96 port 40293 ssh2
145,2026-03-10 12:09:53,fw01,firewall,ALLOW tcp 10.20.9.33:44969 -> 10.20.3.55:443 bytes=46102
146,2026-03-10 12:23:06,fw01,firewall,DENY tcp 198.51.100.42:41696 -> 10.20.1.11:23 bytes=0
147,2026-03-10 12:25:18,web01,nginx,"203.0.113.7 - - ""GET /api/v2/orders?page=7 HTTP/1.1"" 200 6564"
148,2026-03-10 12:38:19,fs01,sshd,Accepted publickey for jmorales from 10.20.9.72 port 46929 ssh2
149,2026-03-10 12:47:36,web02,nginx,"203.0.113.19 - - ""POST /api/v2/session HTTP/1.1"" 201 788"
150,2026-03-10 12:49:42,vpn01,sudo,backup : TTY=pts/0 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/systemctl status nginx
151,2026-03-10 12:50:23,vpn01,sshd,Accepted publickey for deploy from 10.20.9.14 port 48675 ssh2
152,2026-03-10 12:51:31,fw01,firewall,ALLOW tcp 10.20.9.33:54192 -> 10.20.2.21:443 bytes=30335
153,2026-03-10 12:57:38,app02,sshd,Failed password for swilliams from 10.20.9.96 port 59184 ssh2
154,2026-03-10 13:01:19,app02,cron,(deploy) CMD (/usr/local/bin/report.sh --daily)
155,2026-03-10 13:01:45,fw01,firewall,DENY tcp 203.0.113.7:44753 -> 10.20.1.11:23 bytes=0
